fdc_id,description,mapped_ingredient
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough","""biscuit mix"""
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough","""cinnamon roll"""
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry","""breadcrumb"""
167515,"George Weston Bakeries, Thomas English Muffins","""english muffin"""
167516,"Waffles, buttermilk, frozen, ready-to-heat","""buttermilk"""
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted","""buttermilk"""
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved","""buttermilk"""
167519,"Waffle, plain, frozen, ready-to-heat, microwave","""waffle"""
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust","""graham cracker"""
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust","""chocolate pie crust"""
167522,"Pie, Dutch Apple, Commercially Prepared","""apple"""
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour","""pie crust"""
167524,"Waffles, chocolate chip, frozen, ready-to-heat","""chocolate chip"""
167525,"Tostada shells, corn","""corn tortilla"""
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)","""bread"""
167527,"Bread, pound cake type, pan de torta salvadoran","""bread"""
167528,"Pastry, Pastelitos de Guava (guava pastries)","""guava"""
167529,"Crackers, snack, Goya Crackers","""cracker"""
167530,"Crackers, cream, Gamesa Sabrosas","""cracker"""
167531,"Crackers, cream, La Moderna Rikis Cream Crackers","""cracker"""
167532,"Bread, white wheat","""white wheat flour"""
167533,"Bagels, wheat","""wheat"""
167534,"Cream puff, eclair, custard or cream filled, iced","""cream filling"""
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable","""flour tortilla"""
167536,"Snacks, beef jerky, chopped and formed","""beef jerky"""
167537,"Snacks, corn-based, extruded, chips, plain","""corn chip"""
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor","""corn chip"""
167539,"Snacks, corn-based, extruded, cones, plain","""corn chip"""
167540,"Snacks, fruit leather, pieces","""fruit leather"""
167541,"Snacks, fruit leather, rolls","""fruit leather"""
167542,"Snacks, granola bars, hard, plain","""granola"""
167543,"Snacks, granola bars, hard, almond","""almond"""
167544,"Snacks, granola bars, soft, uncoated, raisin","""raisin"""
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip","""chocolate chip"""
167546,"Candies, honey-combed, with peanut butter","""peanut butter"""
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter","""milk chocolate coating"""
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip","""peanut butter chocolate chip"""
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat","""popcorn"""
167550,"Snacks, popcorn, cakes","""popcorn"""
167551,"Snacks, popcorn, caramel-coated, with peanuts","""peanut"""
167552,"Snacks, popcorn, caramel-coated, without peanuts","""caramel coating"""
167553,"Snacks, potato chips, made from dried potatoes, reduced fat","""potato"""
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor","""potato chip"""
167555,"Snacks, pretzels, hard, plain, salted","""pretzel"""
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor","""chocolate coating"""
167557,"Snacks, rice cakes, brown rice, sesame seed","""brown rice"""
167558,"Snacks, tortilla chips, plain, white corn, salted","""white corn"""
167559,"Snacks, tortilla chips, nacho cheese","""tortilla chip"""
167560,"Snacks, tortilla chips, ranch-flavor","""tortilla chip"""
167561,"Snacks, trail mix, regular","""trail mix"""
167562,"Candies, ALMOND JOY Candy Bar","""almond"""
167563,"Candies, TWIZZLERS CHERRY BITES","""cherry bit"""
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews","""honey"""
167565,"Candies, NESTLE, BUTTERFINGER Bar","""butterfinger"""
167566,"Candies, caramels, chocolate-flavor roll","""chocolate"""
167567,"Baking chocolate, unsweetened, liquid","""baking chocolate"""
167568,"Baking chocolate, unsweetened, squares","""baking chocolate"""
167569,"Candies, confectioner's coating, yogurt","""candy coating"""
167570,"Candies, confectioner's coating, peanut butter","""peanut butter"""
167571,"Candies, white chocolate","""white chocolate"""
167572,"Ice creams, vanilla, light","""vanilla ice cream"""
167573,"Ice creams, vanilla, rich","""vanilla ice cream"""
167574,"Desserts, flan, caramel custard, prepared-from-recipe","""caramel custard"""
167575,"Ice creams, vanilla","""vanilla ice cream"""
167576,"Ice creams, vanilla, light, soft-serve","""vanilla ice cream"""
167577,"Sherbet, orange","""orange"""
167578,"Candies, fudge, peanut butter, prepared-from-recipe","""peanut butter"""
167579,"Candies, fudge, vanilla, prepared-from-recipe","""vanilla candy"""
167580,"Candies, fudge, vanilla with nuts","""chocolate fudge pudding mix"""
167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts","""chocolate covered peanuts"""
167582,"Candies, NESTLE, BABY RUTH Bar","""baby ruth"""
167583,"Candies, TWIZZLERS Strawberry Twists Candy","""strawberry"""
167584,"Syrups, table blends, pancake, with butter","""butter"""
167585,"Ice creams, chocolate, light","""chocolate"""
167586,"Candies, NESTLE, CHUNKY Bar","""chocolate chunk"""
167587,"Candies, milk chocolate","""milk chocolate"""
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk","""banana pudding mix"""
167589,"Puddings, banana, dry mix, regular, prepared with 2% milk","""banana pudding mix"""
167590,"Andrea's, Gluten Free Soft Dinner Roll","""gluten free dinner roll"""
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free","""cracker"""
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme","""chocolate vanilla creme"""
167593,"Glutino, Gluten Free Cookies, Vanilla Creme","""gluten free cookie"""
167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original","""cracker"""
167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan","""cracker"""
167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza","""cracker"""
167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread","""sandwich bread"""
167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread","""sandwich bread"""
167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread","""whole wheat flour"""
167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls","""gluten free whole grain dinner roll"""
167601,"Van's, Gluten Free, Totally Original Pancakes","""gluten free pancake"""
167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry","""seaweed"""
167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated","""seaweed"""
167604,"Potatoes, hash brown, refrigerated, unprepared","""hash brown"""
167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil","""hash brown"""
167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing","""sweet potato"""
167607,"Moose, meat, raw (Alaska Native)","""raw meat"""
167608,"Mashu roots, raw (Alaska Native)","""mashu root"""
167609,"Moose, liver, braised (Alaska Native)","""liver"""
167610,"Seal, bearded (Oogruk), meat, raw (Alaska Native)","""bearded seal meat"""
167611,"Oil, bearded seal (Oogruk) (Alaska Native)","""bearded seal oil"""
167612,"Oopah (tunicate), whole animal (Alaska Native)","""tunicate"""
167613,"Owl, horned, flesh, raw (Alaska Native)","""raw meat"""
167614,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)","""salmon"""
167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)","""salmon"""
167616,"Fish, salmon, king, chinook, liver (Alaska Native)","""salmon liver"""
167617,"Duck, scoter, white-winged, meat (Alaska Native)","""duck meat"""
167618,"Sea cucumber, yane (Alaska Native)","""sea cucumber"""
167619,"Squirrel, ground, meat (Alaska Native)","""ground meat"""
167620,"Tea, tundra, herb and laborador combination (Alaska Native)","""herb"""
167621,"Walrus, meat, dried (Alaska Native)","""dried meat"""
167622,"Deer (venison), sitka, raw (Alaska Native)","""venison"""
167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)","""blubber"""
167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)","""muktuk"""
167625,"Oil, whale, bowhead (Alaska Native)","""whale oil"""
167626,"Fish, whitefish, broad, liver (Alaska Native)","""whitefish liver"""
167627,"Mush, blue corn with ash (Navajo)","""blue corn"""
167628,"Cornmeal, blue (Navajo)","""cornmeal"""
167629,"Melon, banana (Navajo)","""melon banana"""
167630,Chilchen (Red Berry Beverage) (Navajo),"""red berry juice"""
167631,"Corn, dried (Navajo)","""dried corn"""
167632,"Squash, Indian, cooked, boiled (Navajo)","""squash"""
167633,"Bread, kneel down (Navajo)","""bread"""
167634,"Mutton, cooked, roasted (Navajo)","""mutton"""
167635,"Frybread, made with lard (Navajo)","""fried dough"""
167636,Tamales (Navajo),"""tamale"""
167637,"Stew, steamed corn (Navajo)","""corn"""
167638,"Fish, halibut, raw, with skin (Alaska Native)","""halibut"""
167639,"Fish, salmon, coho (silver), raw (Alaska Native)","""salmon"""
167640,"Blueberries, wild, raw (Alaska Native)","""blueberry"""
167641,"Oil, spotted seal (Alaska Native)","""oil"""
167642,"Fish, salmon, red, canned, bones removed (Alaska Native)","""salmon"""
167643,"Fish, whitefish, eggs (Alaska Native)","""whitefish"""
167644,"Caribou, rump meat, half dried (Alaska Native)","""beef"""
167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)","""salmon"""
167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)","""salmon"""
167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)","""salmon"""
167648,"Fish, sheefish, raw (Alaska Native)","""fish"""
167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)","""top round steak"""
167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)","""bearded seal meat"""
167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)","""top round steak"""
167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)","""eye of round"""
167653,"Corn, dried, yellow (Northern Plains Indians)","""corn"""
167654,"Smelt, dried (Alaska Native)","""dried smelt"""
167655,"Frybread, made with lard (Apache)","""fried dough"""
167656,Corned beef and potatoes in tortilla (Apache),"""corned beef"""
167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce","""ground beef"""
167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce","""ground beef"""
167659,"Restaurant, Latino, chicken and rice, entree, prepared","""chicken"""
167660,"Restaurant, Latino, empanadas, beef, prepared","""beef"""
167661,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)","""bean"""
167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)","""pupusa"""
167663,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)","""pork"""
167664,"Restaurant, Latino, tamale, corn","""tamale"""
167665,"Restaurant, Mexican, spanish rice","""spanish rice"""
167666,"Restaurant, Mexican, refried beans","""refried beans"""
167667,"Restaurant, Chinese, egg rolls, assorted","""egg roll"""
167668,"Restaurant, Chinese, fried rice, without meat","""rice"""
167669,"CRACKER BARREL, steak fries","""steak"""
167670,"CRACKER BARREL, grilled sirloin steak","""sirloin"""
167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu","""macaroni and cheese"""
167672,"DENNY'S, french fries","""french fries"""
167673,"DENNY'S, top sirloin steak","""top sirloin"""
167674,"Restaurant, Chinese, lemon chicken","""chicken"""
167675,"Restaurant, Chinese, general tso's chicken","""chicken"""
167676,"Restaurant, Chinese, kung pao chicken","""chicken"""
167677,"Restaurant, Chinese, vegetable lo mein, without meat","""vegetable noodle"""
167678,"Restaurant, Chinese, chicken and vegetables","""chicken"""
167679,"Restaurant, Chinese, orange chicken","""orange chicken"""
167680,"Restaurant, Italian, spaghetti with meat sauce","""spaghetti"""
167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame","""aspartame"""
167682,"Pectin, liquid","""pectin"""
167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated","""vanilla ice cream"""
167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie","""sour cream"""
167685,"Bologna, beef and pork, low fat","""bologna"""
167686,"Milk dessert, frozen, milk-fat free, chocolate","""chocolate pudding"""
167687,"Whipped topping, frozen, low fat","""whipped topping"""
167688,"Cream substitute, powdered, light","""powdered milk"""
167689,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies","""peanut butter chocolate candy"""
167690,"Babyfood, apple yogurt dessert, strained","""apple yogurt"""
167691,"Vegetable oil-butter spread, reduced calorie","""vegetable oil"""
167692,"Salad dressing, blue or roquefort cheese dressing, light","""cheese dressing"""
167693,"Salad dressing, french dressing, reduced calorie","""french dressing"""
167694,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked","""sausage"""
167695,"Mayonnaise, made with tofu","""tofu"""
167696,"Frankfurter, beef, low fat","""beef"""
167697,"Milk, buttermilk, fluid, cultured, reduced fat","""buttermilk"""
167698,"Pork sausage rice links, brown and serve, cooked","""pork sausage"""
167699,"Salad dressing, blue or roquefort cheese dressing, fat-free","""cheese dressing"""
167700,"Salad Dressing, mayonnaise-like, fat-free","""mayonnaise"""
167701,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar","""milky way"""
167702,"Oil, flaxseed, cold pressed","""flaxseed oil"""
167703,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced","""cottage cheese"""
167704,"Salad dressing, bacon and tomato","""bacon"""
167705,"Cheese, parmesan, low sodium","""parmesan cheese"""
167706,"Jams, preserves, marmalade, reduced sugar","""jam"""
167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie","""vitamin c powder"""
167708,"Tomato and vegetable juice, low sodium","""tomato juice"""
167709,"Turkey, wing, smoked, cooked, with skin, bone removed","""turkey wing"""
167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed","""turkey"""
167711,"Beverages, Chocolate-flavored drink, whey and milk based","""chocolate"""
167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium","""bacon"""
167713,"Turkey, light or dark meat, smoked, cooked, skin and bone removed","""turkey"""
167714,"Hearts of palm, raw","""hearts of palm"""
167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size","""oatmeal"""
167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables","""cottage cheese"""
167717,Yeast extract spread,"""yeast extract"""
167718,"Babyfood, juice, pear","""pear juice"""
167719,"Chicken, meatless, breaded, fried","""breadcrumb"""
167720,"Babyfood, meat, beef with vegetables, toddler","""beef"""
167721,"Frozen novelties, juice type, juice with cream","""cream"""
167722,Tofu yogurt,"""tofu"""
167723,"Alcoholic beverage, rice (sake)","""rice"""
167724,"Millet, puffed","""millet"""
167725,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY","""oat bran"""
167726,"Babyfood, mixed fruit yogurt, strained","""yogurt"""
167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink","""ensure plus"""
167728,"Babyfood, rice and apples, dry","""rice apple"""
167729,"Babyfood, juice, apple - cherry","""apple juice"""
167730,"Milk, imitation, non-soy","""imitation milk"""
167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified","""rice"""
167732,"Babyfood, banana no tapioca, strained","""banana"""
167733,"Babyfood, banana apple dessert, strained","""banana apple dessert"""
167734,"Breakfast bar, corn flake crust with fruit","""cornflake crust"""
167735,"Cheese, mozzarella, low sodium","""mozzarella"""
167736,"Mayonnaise dressing, no cholesterol","""mayonnaise"""
167737,"Oil, corn, peanut, and olive","""corn oil peanut oil olive oil"""
167738,"Pie fillings, blueberry, canned","""blueberry"""
167739,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen","""concentrated juice"""
167740,"Puddings, chocolate flavor, low calorie, regular, dry mix","""chocolate pudding mix"""
167741,"Puddings, all flavors except chocolate, low calorie, regular, dry mix","""instant pudding mix"""
167742,"Mollusks, scallop, (bay and sea), cooked, steamed","""scallop"""
167743,"Syrup, Cane","""cane syrup"""
167744,"Mollusks, snail, raw","""snail"""
167745,"Turtle, green, raw","""green turtle"""
167746,"Lemons, raw, without peel","""lemon"""
167747,"Lemon juice, raw","""lemon juice"""
167748,"Lemon juice from concentrate, canned or bottled","""lemon juice concentrate"""
167749,"Lemon peel, raw","""lemon peel"""
167750,"Prickly pears, raw","""prickly pear"""
167751,"Plums, dried (prunes), stewed, without added sugar","""prune"""
167752,"Plums, dried (prunes), stewed, with added sugar","""prune"""
167753,"Prune juice, canned","""prune juice"""
167754,"Pummelo, raw","""pummelo"""
167755,"Raspberries, raw","""raspberry"""
167756,"Raspberries, canned, red, heavy syrup pack, solids and liquids","""raspberry"""
167757,"Raspberries, frozen, red, sweetened","""raspberry"""
167758,"Rhubarb, raw","""rhubarb"""
167759,"Sapodilla, raw","""sapodilla"""
167760,"Sapote, mamey, raw","""sapote"""
167761,"Soursop, raw","""soursop"""
167762,"Strawberries, raw","""strawberry"""
167763,"Tamarinds, raw","""tamarind"""
167764,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids","""pineapple papaya banana guava"""
167765,"Watermelon, raw","""watermelon"""
167766,"Maraschino cherries, canned, drained","""maraschino cherry"""
167767,"Pineapple, canned, juice pack, drained","""pineapple"""
167768,"Apricots, canned, heavy syrup, drained","""apricot"""
167769,"Cherries, sour, canned, water pack, drained","""sour cherry"""
167770,"Cherries, sweet, canned, pitted, heavy syrup, drained","""cherries"""
167771,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid","""apple juice"""
167772,"Applesauce, canned, unsweetened, with added ascorbic acid","""apple sauce"""
167773,"Applesauce, canned, sweetened, with salt","""apple sauce"""
167774,"Grapefruit juice, pink, raw","""grapefruit juice"""
167775,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid","""apple juice"""
167776,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)","""pear"""
167777,"Pears, raw, red anjou","""pear"""
167778,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)","""pear"""
167779,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)","""pear"""
167780,Prune puree,"""prune"""
167781,Candied fruit,"""candied fruit"""
167782,"Abiyuch, raw","""abiyuch"""
167783,"Rowal, raw","""raw"""
167784,"Guava nectar, canned, with added ascorbic acid","""guava"""
167785,"Mango nectar, canned","""mango nectar"""
167786,"Tamarind nectar, canned","""tamarind paste"""
167787,"Pomegranate juice, bottled","""pomegranate juice"""
167788,"Nance, canned, syrup, drained","""canned syrup"""
167789,"Nance, frozen, unsweetened","""frozen pea"""
167790,"Naranjilla (lulo) pulp, frozen, unsweetened","""naranjilla pulp"""
167791,Horned melon (Kiwano),"""kiwano"""
167792,Orange Pineapple Juice Blend,"""orange juice pineapple juice"""
167793,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)","""apple"""
167794,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E","""orange juice"""
167795,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO","""mango"""
167796,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE","""fruit juice"""
167797,"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST","""berry boost"""
167798,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS","""fruit juice"""
167799,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana","""strawberry banana juice"""
167800,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium","""apple juice"""
167801,"Lemon juice from concentrate, bottled, CONCORD","""lemon juice concentrate"""
167802,"Lemon juice from concentrate, bottled, REAL LEMON","""lemon juice concentrate"""
167803,"Cranberry sauce, whole, canned, OCEAN SPRAY","""cranberry sauce"""
167804,"Cranberry sauce, jellied, canned, OCEAN SPRAY","""cranberry sauce"""
167805,"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C","""grapefruit"""
167806,Baobab powder,"""baobab powder"""
167807,"Cherry juice, tart","""cherry juice"""
167808,"Raspberries, puree, seedless","""raspberry"""
167809,"Raspberries, puree, with seeds","""raspberry"""
167810,"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw","""pork"""
167811,"Pork, fresh, backfat, raw","""pork"""
167812,"Pork, fresh, belly, raw","""pork belly"""
167813,"Pork, fresh, separable fat, raw","""pork"""
167814,"Pork, fresh, leg (ham), rump half, separable lean and fat, raw","""pork"""
167815,"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted","""pork"""
167816,"Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)","""pork"""
167817,"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted","""pork"""
167818,"Pork, fresh, loin, whole, separable lean and fat, raw","""pork loin"""
167819,"Pork, fresh, loin, whole, separable lean and fat, cooked, braised","""pork loin"""
167820,"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled","""pork loin"""
167821,"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted","""pork loin"""
167822,"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw","""pork loin"""
167823,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised","""pork loin"""
167824,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled","""pork loin"""
167825,"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted","""pork loin"""
167826,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised","""pork loin"""
167827,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled","""pork loin"""
167828,"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted","""pork loin"""
167829,"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw","""pork loin"""
167830,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised","""pork loin"""
167831,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, broiled","""pork loin"""
167832,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted","""pork loin"""
167833,"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw","""pork"""
167834,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, braised","""pork loin"""
167835,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, broiled","""pork loin"""
167836,"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted","""pork loin"""
167837,"Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw","""pork loin"""
167838,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, braised","""pork loin"""
167839,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw","""pork loin"""
167840,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, braised","""pork loin"""
167841,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled","""pork loin"""
167842,"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted","""pork loin"""
167843,"Pork, fresh, shoulder, whole, separable lean and fat, raw","""pork shoulder"""
167844,"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted","""pork shoulder"""
167845,"Pork, fresh, shoulder, whole, separable lean only, raw","""pork shoulder"""
167846,"Pork, fresh, shoulder, whole, separable lean only, cooked, roasted","""pork shoulder"""
167847,"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised","""pork shoulder"""
167848,"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, roasted","""pork shoulder"""
167849,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw","""pork shoulder"""
167850,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, cooked, braised","""pork shoulder"""
167851,"Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, cooked, broiled","""pork shoulder"""
167852,"Pork, fresh, shoulder, blade, boston (roasts), separable lean only, cooked, roasted","""pork shoulder"""
167853,"Pork, fresh, spareribs, separable lean and fat, raw","""pork"""
167854,"Pork, fresh, spareribs, separable lean and fat, cooked, braised","""pork rib"""
167855,"Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked","""pork"""
167856,"Pork, fresh, variety meats and by-products, chitterlings, cooked, simmered","""chitterlings"""
167857,"Pork, fresh, variety meats and by-products, ears, frozen, raw","""pork ear"""
167858,"Pork, fresh, variety meats and by-products, ears, frozen, cooked, simmered","""pork ear"""
167859,"Pork, fresh, variety meats and by-products, feet, raw","""pork foot"""
167860,"Pork, fresh, variety meats and by-products, kidneys, cooked, braised","""kidney"""
