fdc_id,description,response
421450,CANDY WAFERS PURPLE VANILLA,vanilla
421451,"TURIN, KAHLUA CHOCOLATES",chocolate
421452,PINA SOFT DRINK,soda
421453,LIMONADA,lemonade
421454,"BOMBI CRAYON, BUBBLE GUM",gum
421455,SIMPLY SELTZ'R,water
421456,SIMPLY SELTZ'R,water
421457,"FAIRWAY, CHOCOLATE SANDWICH CREMES",chocolate
421458,FLAX SEEDS,flaxseed
421459,"FAIRWAY, ROASTED SALTED ALMONDS",almond
421460,ROASTED SALTED PEANUTS,peanut
421461,PEANUTS,peanut
421462,CRISP TOFFEE WATER COOKIES,cookie
421463,HOMESTYLE CARROT COOKIES,carrot
421464,MACAROONS,coconut
421465,"CVP, CRUNCHY GUMMIES",gummy
421466,"BIT-O-HONEY, CANDY BAR",honey
421467,"CVP, CHOCOLATE COVERED PEANUTS",peanut
421468,"SELMA'S, SHAPED SUGAR COOKIES",sugar
421469,"SELMA'S, SHAPED SUGAR COOKIES",sugar cookie
421470,SHAPED SUGAR COOKIES,sugar
421471,ICED COFFEE,coffee
421472,"STARBUCKS, CLASSIC COFFEE,  HOT COCOA",cocoa
421473,VEGETABLE & FRUIT JUICE BLEND,juice
421474,"STARBUCKS, CHOCOLATE BITES, PEPPERMINT BITES",chocolate
421475,"MAMA LYCHA, TAMARINDO DULCE CANDY",tamarind
421476,"CRYSTAL TEMPTATIONS, YOU'RE ONE OF MY FAVES! MIXED FRUIT CANDY",fruit
421477,"RC ALMONDS, ROASTED ALMONDS, COCO COCOA","almond, cocoa"
421478,ORGANIC SEAWEED SNACKS,seaweed
421479,"YOU'RE A, PEACH! PEACHY RING",peach
421480,"HORIZON GROUP USA, GLOW POPS - LOLLIPOPS",lollipop
421481,"TROPI JUICE, JUICE, GUAVA",guava
421482,CHOCOLATIER,chocolate
421483,FRUIT BARS,fruit
421484,SUGAR FREE ASSORTED CONFECTIONS,confectioner
421485,"BIGGA, GINGER BEER, FLAVOURED SOFT DRINK",ginger
421486,"MARA, PIRULICOS CANDY",candy
421487,"RC ALMONDS, KONA COFFEE ROASTED ALMONDS",almond
421488,"GALERIE, GUMMY BEAR, STRAWBERRY",gummy bear
421489,DISNEY FROZEN MARSHMALLOW POP,marshmallow
421490,"GALERIE, STAR WARS EASTER MILK CHOCOLATE",milk chocolate
421491,MILK CHOCOLATE HEARTS,chocolate
421492,"TARGET, MILK CHOCOLATE GOLF BALLS CANDY",chocolate
421493,"GALERIE, MILK CHOCOLATE HEARTS",chocolate
421494,"GALERIE, STAR WARS VALENTINE HEART BOX WITH CANDY GUMMIES, STRAEBERRY",gummy
421495,"GALERIE, DISNEY FROZEN CANDY, ASSORTED",candy
421496,"TARGET, ADVENT CALENDAR WITH CHOCOLATES",chocolate
421497,"TARGET CORPORATION, EDIBLE EASTER GRASS, GREEN APPLE",apple
421498,"GALERIE, MILK CHOCOLATE HEARTS",chocolate
421499,"GALERIE, CANDY SPECKLED EGGS",candy
421500,"GALERIE, MILK CHOCOLATE",chocolate
421501,CANDY DISPENSER FILLED WITH CANDY PIECES,candy
421502,"GALERIE, REINDEER WITH SCARF",scarf
421503,"GALERIE, CANDY DISPENSER WITH CANDY PIECES",candy
421504,"GALERIE, SOCK MONKEY WITH CANDY CANES, PEPPERMINT",peppermint
421505,MARSHMALLOW POP,marshmallow
421506,"GALERIE, STAR WARS CANDY DISPENSER",candy
421507,"GALERIE, CANDY CONVERSATION HEARTS",candy
421508,STAR WARS MILK CHOCOLATE,milk chocolate
421509,"GALERIE, STAR WARS LOLLIPOPS, STRAWBERRY",strawberry
421510,"DISNEY, MILK CHOCOLATE CHARACTERS",chocolate
421511,"DISNEY, STAR WARS, DISPENSER WITH GUMBALLS",gum
421512,MARSHMALLOW,marshmallow
421513,"REESE'S, PEANUT BUTTER CUPS",peanut butter
421514,"GALERIE, DISNEP FROZEN EASTER MARSHMALLOW POP, VANILLA",marshmallow
421515,"REESE'S, MILK CHOCOLATE, PEANUT BUTTER EGG",peanut butter
421516,LOLLIPOP BOUQUET,lollipop
421517,"GALERIE, WATER BOTTLE WITH CANDY, FRUIT",water
421518,"GALERIE, LOLLIPOP AND GUMMY BOUQUET, FRUIT PUNCH",fruit punch
421519,"HARDY FARMS, GEORGIA FRIED PEANUTS",peanut
421520,VERMONT CRAFT CHOCOLATE,chocolate
421521,"LAKE CHAMPLAIN CHOCOLATES, MILK CHOCOLATE, CARAMEL",caramel
421522,"LAKE CHAMPLAIN CHOCOLATES, CHOCOLATES, MAPLE CARAMEL, PEANUT BUTTER & CARAMEL",chocolate
421523,100% PURE PREMIUM JUICE,juice
421524,"TWO-BITE, ORIGINAL COOKIES, GINGER MOLASSES",ginger molasses cookie
421525,FRUIT & SEED BITES,fruit
421526,APPLE CIDER MIX,apple
421527,"GOURMET VILLAGE, NAUGHTY OR NICE FLAVORED CANDY, CHERRY",candy
421528,HOT CHOCOLATE MIX,chocolate
421529,COAL CANDY,sugar
421530,CANDY,sugar
421531,"SUNRISE NATURAL FOODS, APPLE RINGS GUMMI CANDY",apple
421532,"HARRY & DAVID, CHOCOLATE TRUFFLES",chocolate
421533,PREMIUM POPCORN,popcorn
421534,GOURMET POPCORN,popcorn
421535,TRUFFLES,truffle
421536,GOURMET POPCORN,popcorn
421537,"DIEFFENBACH'S, KETTLE CHIPS, CHICAGO DEEP DISH",potato
421538,"DIEFFENBACH'S, KETTLE CHIPS, LOUISIANA HOT SAUCE",chipotle pepper
421539,KETTLE POTATO CHIPS,potato
421540,ROOT VEGETABLE CHIPS,vegetable
421541,"THE BETTER CHIP, WHOLE GRAIN CHIPS",chip
421542,SPINACH & KALE WHOLE GRAIN CHIPS,spinach
421543,ROCKY MOUNTAIN MIX,mix
421544,"FERRIS, ORANGE FRUIT SLICES",orange
421545,"FERRIS, RAW WHOLE BRAZIL NUTS",brazil nut
421546,"FERRIS, MILK CHOCOLATE PRETZELS",pretzel
421547,"ALBRECHT'S DELAFIELD MARKET, ORIENTAL MIX WITH GREEN PEAS",mix
421548,"FERRIS, CHOCOLATE COVERED PRETZELS",pretzel
421549,"FERRIS, FANCY MIXED NUT",nut
421550,"FERRIS, CINNAMON ROASTED ALMONDS",almond
421551,"INTERNATIONAL FOODSOURCE LLC, FIRE ROASTED CASHEWS WITH SEA SALT",cashew
421552,MAMMOTH PECAN HALVES,pecan
421553,"VALUED NATURALS, CRANBERRY TRAIL MIX",trail mix
421554,WHOLE ALMONDS,almond
421555,"VALUED NATURALS, WHOLE ALMONDS",almond
421556,PECAN PIECES,pecan
421557,"VALUED NATURALS, ALMONDS WITH SEA SALT",almond
421558,YOGURT PRETZELS,yogurt
421559,"HAYDEN VALLEY FOODS, RASPBERRY YOGURT PRETZELS, RASPBERRY",raspberry
421560,"HAYDEN VALLEY FOODS, CHIA STICKS","chia

"
421561,"STRAUB'S, PUMPKIN SEEDS",pumpkin seed
421562,"PRALINE, NUT MIX",nut
421563,"STRAUB'S, TRAIL MIX, CRANBERRY",trail mix
421564,"STRAUB'S, DIETER'S BLEND",blend
421565,"STRAUB'S, YOGURT RAISINS",raisin
421566,"STRAUB'S, YOGURT PRETZELS",pretzel
421567,CINNAMON YOGURT PRETZELS,cinnamon
421568,"MR. FITZPATRICK'S, CORDIAL, BLACKCURRANT",blackcurrant
421569,NATURAL ENERGY BEVERAGE,water
421570,"MOTHER RUCKER'S SWEETS, COCOA COOKIE BRITTLE",cookie
421571,"SIMPLY SWEET IDEAS, CHOCOLATE CHIP COOKIE DOUGH",cookie dough
421572,"SUNGO, SPARKLING JUICE BEVERAGE, HIBISCUS WITH RASPBERRY",juice
421573,"SUNGO, SPARKLING JUICE BEVERAGE, PASSION FRUIT & ORANGE",juice
421574,"KIST, SPARKLING WATER, BLACKBERRY, RASPBERRY",water
421575,"KIST, SPARKLING WATER, STRAWBERRY WATERMELON",water
421576,TEA BISCUIT,biscuit
421577,LEMON WAFER COOKIES,wafer
421578,BAKED APPLE CRISP,apple
421579,"TREASURED HARVEST, BRAZIL NUTS",brazil nut
421580,"TREASURED HARVEST, WHOLE PECANS",pecan
421581,STRAWBERRY LICORICE,strawberry
421582,GRAPE MEMORY KOMBUCHA,kombucha
421583,"ESPEEZ, ROCK CANDY ON A STICK, LIGHT BLUE COTTON CANDY",sugar
421584,"MARICH, PREMIUM CHICKS N' BUNNIES CHOCOLATES",chocolate
421585,BEVERAGE,water
421586,"SPELT RIGHT, SPELT CHIPS",spelt
421587,"FREY, LUCKY MILK CHOCOLATE BUNNY",chocolate
421588,"SWEET WORKS, CELEBRATION, GUMBALLS",gumball
421589,"SWEETWORKS, CELEBRATION, GUMBALLS",gumball
421590,"SWEETWORKS, CELEBRATION, GUMBALLS",gumball
421591,"CELEBRATION BY SWEETWORKS, SHIMMER COLOR GUMBALLS",gumball
421592,"MOUTH PARTY, CHOCOLATE CARAMELS",caramel
421593,CARAMELS,sugar
421594,"ALMONDRA, ALMOND COOKIES, DARK CHOCOLATE",almond
421595,"ALMONDRA, ORIGINAL EMBRACE INDULGENCE ALMOND COOKIES",cookie
421596,"BOMBAY KITCHEN, CHANA DAL",chana dal
421597,PEANUT BUTTER CUPS DARK CHOCOLATE,chocolate
421598,CHESTNUT HONEY ALMOND BAR,honey
421599,ROASTED PEANUT BUTTER CUPS,peanut
421600,CANDY CHEWS,candy
421601,CANDY + DISPENSER,candy
421602,CANDY + DISPENSER,candy
421603,CANDY + DISPENSER,candy
421604,CANDY + DISPENSER,candy
421605,"SUPERIOR SNACKS, GUMMI BEARS CANDY",gummy bears
421606,SPONGE CANDY,sugar
421607,COOKIES,cookie
421608,MINT CHOCOLATE CHIPS COOKIES,chocolate chip
421609,"TATE'S BAKE SHOP, ORANGES & CREAM COOKIES",orange
421610,CRISPY & CRUNCHY POPPED CORN CHIPS,corn
421611,BEAN CRISPS,bean
421612,THIN & CRISPY POPPED BEAN CRISPS,bean
421613,PURE MILK CHOCOLATE,chocolate
421614,PREMIUM HOT COCOA,cocoa
421615,"TRUE LEMON, REAL FRUIT, FLAVORED DRINK MIX",lemon juice
421616,100% ORGANIC HERBAL TEA,tea
421617,"KOHLER, DARK TOFFEE BARK",toffee
421618,SUGAR COOKIE PLATTER,sugar
421619,"VIM + VIGOR, 100% COLD PRESSED JUICE",juice
421620,MILK TOFFEE BARK,toffee
421621,ORANGE CREAM,cream
421622,CANDY CANE,candy cane
421623,RASPBERRY LEMONADE DRINK MIX,lemonade mix
421624,100% COLD-PRESSED JUICE,juice
421625,"ANGRY BIRDS, GOURMET DECORATED SHORTBREAD COOKIE",cookie
421626,"YUMBANA SHOPPE, HOLIDAY SUGAR COOKIES",sugar
421627,"GLUTEN GOURMET, CHOCOLATE CHIP COOKIES",cookie
421628,RUDOPLH BUMBLE COOKIE DECORATING ICING KIT,icing
421629,SPARKLING DRINK MIX,soda
421630,SPARKLING DRINK MIX,soda
421631,RICE SNACKS,rice
421632,"BLACK CANYON GOURMET POPCORN, POPCORN, BANANA SPLIT",popcorn
421633,"BLACK CANYON GOURMET POPCORN, GOURMET POPCORN, COTTON CANDY",popcorn
421634,"SODASTREAM, WATERS FRUITS, SPARKLING WATER MIX, RED APPLE",water
421635,"IDAHO, BLACK CANYON, GOURMET POPCORN - KETTLE CORN",popcorn
421636,XSTREAM DIET ENERGY SPARKLING DRINK MIX,drink mix
421637,"GOURMET SELECT, DIPPED PRETZEL CHIPS, WHITE CHOCOLATE",pretzel
421638,HOLIDAY POPCORN TIN,popcorn
421639,"GOURMET SELECT, PUFFCORN, BUTTER",puffcorn
421640,WHITE CHEDDAR SNOWBALL,cheddar cheese
421641,SUPERFOOD + PEPITAS,pepita
421642,"COCO LIBRE, ORGANIC SPARKLING COCONUT WATER FROM CONCENTRATE",coconut water
421643,PREMIUM COCONUT WATER,water
421644,"THORNTONS, CONTINENTAL, ASSORTED MILK, WHITE & DARK CHOCOLATES",chocolate
421645,"THORNTONS, AN ASSORTMENT OF MILK, WHITE AND DARK REAL CHOCOLATES",chocolate
421646,COLD BREW COFFEE,coffee
421647,COLD BREW COFFEE,coffee
421648,GOURMET POPCORN,popcorn
421649,ESSENTIALS ALOE VERA JUICE DRINK,aloe vera juice
